,RMSE,RRSE,R2_TEST,MAE,TEST_TIME,TUNIN_TIME,R2_TRAINED,K_FOLD,JOBS,GRID_CASES,NAME
0,1110.04,0.86,0.26,864.65,0.0,178.47,0.36,10,1,216,MLPRegressor
1,1110.04,0.86,0.26,864.65,0.0,146.01,0.36,10,2,216,MLPRegressor
2,1110.04,0.86,0.26,864.65,0.0,159.09,0.36,10,3,216,MLPRegressor
