,RMSE,RRSE,R2_TEST,MAE,TEST_TIME,TUNIN_TIME,R2_TRAINED,K_FOLD,JOBS,GRID_CASES,NAME
0,1050.04,0.8,0.36,810.86,0.03,3052.68,0.67,10,1,216,RandomForestRegressor
1,1050.04,0.8,0.36,810.86,0.04,1915.12,0.67,10,2,216,RandomForestRegressor
2,1050.04,0.8,0.36,810.86,0.03,1920.63,0.67,10,3,216,RandomForestRegressor
