,RMSE,RRSE,R2_TEST,MAE,TEST_TIME,TUNIN_TIME,R2_TRAINED,K_FOLD,JOBS,GRID_CASES,NAME
0,1086.96,0.81,0.35,843.14,0.01,1337.16,0.34,10,1,144,SVR
1,1086.96,0.81,0.35,843.14,0.0,900.34,0.34,10,2,144,SVR
2,1086.96,0.81,0.35,843.14,0.0,832.19,0.34,10,3,144,SVR
