Date P RH.x RH.y SR.x SR.y TM TX
2007-01-01 0 81.3212955801422 NA 16.8292642175279 NA 23.2263084677448 32.308923248722
2007-01-02 14.3 78.0075048717601 NA 16.5682406077694 NA 23.0352469141113 32.8739359193111
2007-01-03 0.4 85.1409626761918 NA 14.2060839246765 NA 22.94555189872 30.06592537245
2007-01-04 5.2 87.9897109152984 NA 15.0433171904762 NA 23.2171879686327 30.2718953036655
2007-01-05 0 80.8013919917376 NA 17.6902747286579 NA 23.6342543428512 31.5143305954669
2007-01-06 7.4 76.3023767480742 NA 19.108876948906 NA 23.6948156671975 33.8452437577925
2007-01-07 0 80.1256417237825 NA 16.8088210848659 NA 23.6505346292014 32.432583825467
2007-01-08 0 80.5164383423243 NA 18.0036451303869 NA 22.4888227681908 32.2862549156032
2007-01-09 3 79.6737742622872 NA 18.2683386855922 NA 23.3052886140139 33.2901914061244
2007-01-10 0 76.9762792403038 NA 19.1846192467527 NA 23.1350063682829 33.7151177406524
2007-01-11 0 73.2792485925499 NA 19.1540640113369 NA 22.746515183883 34.7274843245202
2007-01-12 1.4 78.0741615432576 NA 17.4118325091575 NA 23.4101789268838 32.3956742211253
2007-01-13 0.2 81.9068306076992 NA 16.5206890014475 NA 23.1639670775302 31.0119712452668
2007-01-14 6 85.4174711038962 NA 15.2046927922078 NA 24.3396118511584 32.52613388198
2007-01-15 2.8 81.1739687367221 NA 16.6539263557782 NA 23.2204242194514 31.8708401924804
2007-01-16 15.2 73.8632650188915 NA 16.2421046666666 NA 23.0774817648035 34.0366062993904
2007-01-17 4.54 70.0082715551666 NA 18.8617724285715 NA 23.5804225303751 34.9698883079601
2007-01-18 2.4 77.3883224317388 NA 18.2517895519727 NA 23.3898721821277 34.5959321786322
2007-01-19 10.2 70.0631595952384 NA 18.7851615714286 NA 24.1438404038608 35.878594886349
2007-01-20 1.7 79.9824892469753 NA 17.6148262490732 NA 24.8091001902177 32.7371857000688
2007-01-21 1.7 73.2886654622108 NA 18.3725560039683 NA 22.8602323880552 34.5246784223959
2007-01-22 30.4 75.3208762378969 NA 17.7759315281385 NA 23.0074543576134 32.7543363684301
2007-01-23 0.4 73.7652681269841 NA 19.6069122854568 NA 23.5105389630013 35.5452486284607
2007-01-24 50.3 74.2283322807723 NA 17.0962954761905 NA 23.7680768048191 35.0075577040048
2007-01-25 4 73.6609779956711 NA 18.9201440493691 NA 22.3301289428288 35.7976475186956
2007-01-26 8 73.0522823264431 NA 18.3493404523809 NA 23.6530509786501 35.2227238154004
2007-01-27 0 74.9287965945166 NA 19.8303327422209 NA 24.3757872556996 34.510456391708
2007-01-28 2.6 75.6689954818027 NA 17.8726945881437 NA 22.2164299146472 34.0933671522247
2007-01-29 15.2 84.8700318421115 NA 17.4772617142857 NA 22.2843792622129 31.7347431544425
2007-01-30 14.3 78.6978442952015 NA 16.5902924047619 NA 23.4141585189276 33.9106680393323
2007-01-31 2.2 78.0926218095237 NA 18.2439471006277 NA 21.3231286108563 34.4967754442356
2007-02-01 0 75.2267883439271 NA 18.0018630617425 NA 22.5861838206109 33.5797211155743
2007-02-02 0 81.3927194365019 NA 17.3455617373689 NA 22.2097540203707 32.5524157209528
2007-02-03 0.3 77.31459602664 NA 18.5259064606976 NA 21.5921643559396 33.4150446202153
2007-02-04 4 81.0104160548159 NA 17.5757647714395 NA 23.1349610752617 32.4876974576044
2007-02-05 0.8 76.5058399930236 NA 19.029479744431 NA 22.8014939082463 33.433247604544
2007-02-06 0.3 87.1578570531134 NA 16.0763936033202 NA 22.4981304623614 31.540046670072
2007-02-07 0 74.2104410322091 NA 20.3259913295302 NA 21.9403288063197 34.6859423143994
2007-02-08 6 74.5006135446959 NA 17.7617955246753 NA 22.9969694668834 33.8984836326566
2007-02-09 0.8 80.2728272477091 NA 18.0279298997501 NA 22.8756303961182 33.0732606165281
2007-02-10 1.4 79.2124631240438 NA 17.5237698622391 NA 22.945926267936 32.3652888061269
2007-02-11 0.3 81.9619731973785 NA 17.8226538391848 NA 21.8989714348691 33.2513077269883
2007-02-12 0 71.0257811904761 NA 19.6844243525121 NA 22.4665811894401 35.6472140492757
2007-02-13 0 71.835667335776 NA 18.2313133714773 NA 22.9758417567589 34.2106732926988
2007-02-14 0.8 74.4988056147187 NA 20.256128618618 NA 22.3180084357958 35.6001038961867
2007-02-15 0.3 71.2437668134203 NA 18.0370393136616 NA 22.8772934900219 34.3184565437995
2007-02-16 0 69.6571744801624 NA 19.2900936509414 NA 22.7504035720801 36.1981858944427
2007-02-17 0 78.4265444055027 NA 17.5153838862251 NA 22.0865560506165 33.1492525296873
2007-02-18 0 79.8539861754191 NA 18.6899524081819 NA 22.0976160597816 33.7311687537463
2007-02-19 0 83.3698373821732 NA 17.4655047621608 NA 23.5135075816824 31.5044904863761
2007-02-20 0 80.6741267777691 NA 18.3335519092442 NA 23.1498443579541 32.9356941830767
2007-02-21 0 80.088773568516 NA 17.709171297685 NA 23.0561151593254 31.7520357879676
2007-02-22 0 72.5562786834376 NA 18.71 18.71 22.6 35
2007-02-23 0 83.1756357584297 NA 18.72 18.72 23.2 30.8023832749467
2007-02-24 0 86.6778968458513 NA 18.29 18.29 22.1099706266182 29.4207094897752
2007-02-25 0 67 67 17.54 17.54 21.7238813382033 34.8
2007-02-26 0 74.6522509841183 NA 17.93 17.93 21.9069135433592 35
2007-02-27 0 74.0088500235909 NA 18.72 18.72 23.2 33.4
2007-02-28 0 83.0375786663475 NA 18.71 18.71 23.8 32.1429709849423
