P_ACCUM,P_10_FREQ,TM_AVG,TX_AVG,TX_30_FREQ,RH_AVG,SR_ACCUM,Yield,Variety
427.3,0.10476190476190476,22.611428571428558,32.17692023111304,0.9047619047619048,75.89741038361718,43255.9932,5812.5,COPROSEM 2
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,9534.692442,F2000
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,5824.830233,F2000
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,8501.274419,F2000
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,5832.235465,F60
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,3733.625581,F60
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,5931.218605,F60
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,5561.559302000002,F733
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,5968.779070000001,F733
855.9200000000003,0.16666666666666666,23.363749176851677,32.836319240871894,0.8684210526315791,79.5275905688133,47644.81548620871,7851.716859999998,F733
667.9000000000002,0.14655172413793102,22.620487077480178,31.911247904948073,0.8448275862068966,78.10767864104571,42024.2628,7687.5,F50
165.59999999999997,0.0423728813559322,23.211864406779657,33.41694915254237,0.8898305084745762,71.55618644067796,49526.24616109673,5000.0,ONLY RICE 228
876.35,0.1694915254237288,23.363283103060088,32.78169824965591,0.8644067796610171,79.73529936309083,49229.25348620871,4975.348837,F50
876.35,0.1694915254237288,23.363283103060088,32.78169824965591,0.8644067796610171,79.73529936309083,49229.25348620871,5240.723837,F50
876.35,0.1694915254237288,23.363283103060088,32.78169824965591,0.8644067796610171,79.73529936309083,49229.25348620871,4889.000581,F50
460.8,0.13333333333333333,22.95499999999999,32.21833333333333,0.85,79.45941666666663,48104.8272,5000.0,LAGUNAS
276.0,0.06666666666666668,23.32416666666667,32.8525,0.8583333333333333,76.49133333333334,49307.329812081065,4721.952907,F2000
276.0,0.06666666666666668,23.32416666666667,32.8525,0.8583333333333333,76.49133333333334,49307.329812081065,4982.787209,F2000
276.0,0.06666666666666668,23.32416666666667,32.8525,0.8583333333333333,76.49133333333334,49307.329812081065,4248.836628,F2000
276.0,0.06666666666666668,23.32416666666667,32.8525,0.8583333333333333,76.49133333333334,49307.329812081065,4284.686919,F2000
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,4126.227907,F2000
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,6524.069767,F2000
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,5686.360465,F2000
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,5607.209302,F2000
1088.71,0.18333333333333326,23.023333333333344,32.64583333333333,0.8416666666666667,79.39358333333331,51229.5252,6974.767442,F2000
1088.71,0.18333333333333326,23.023333333333344,32.64583333333333,0.8416666666666667,79.39358333333331,51229.5252,4884.2223840000015,F2000
1088.71,0.18333333333333326,23.023333333333344,32.64583333333333,0.8416666666666667,79.39358333333331,51229.5252,6972.878634000002,F2000
1088.71,0.18333333333333326,23.023333333333344,32.64583333333333,0.8416666666666667,79.39358333333331,51229.5252,5005.638081,F2000
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,5033.763081,F60
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,4774.491279,F60
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,4781.662791,F60
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,3899.590698,F60
1088.71,0.18333333333333326,23.023333333333344,32.64583333333333,0.8416666666666667,79.39358333333331,51229.5252,5582.430959,F60
1088.71,0.18333333333333326,23.023333333333344,32.64583333333333,0.8416666666666667,79.39358333333331,51229.5252,5080.338663,F60
1088.71,0.18333333333333326,23.023333333333344,32.64583333333333,0.8416666666666667,79.39358333333331,51229.5252,4703.7375,F60
1088.71,0.18333333333333326,23.023333333333344,32.64583333333333,0.8416666666666667,79.39358333333331,51229.5252,5384.381686,F60
276.0,0.06666666666666668,23.32416666666667,32.8525,0.8583333333333333,76.49133333333334,49307.329812081065,5230.0944770000015,F733
276.0,0.06666666666666668,23.32416666666667,32.8525,0.8583333333333333,76.49133333333334,49307.329812081065,6672.293022999997,F733
276.0,0.06666666666666668,23.32416666666667,32.8525,0.8583333333333333,76.49133333333334,49307.329812081065,5130.824419,F733
276.0,0.06666666666666668,23.32416666666667,32.8525,0.8583333333333333,76.49133333333334,49307.329812081065,4879.350872,F733
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,5881.023256,F733
955.51,0.19166666666666668,23.11265614515571,32.371282227437035,0.8166666666666667,81.24988032296397,50242.75109207448,4966.511628,F733
